Country,Lat,Lon,Capital City,Country_Code,Currency,Image_name,Image_URL,population,country_name
Peru,-10.57,-75.871,Lima,PER,Peruvian Nuevo Sol,Flag_of_Peru.svg,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,7044636,Paraguay
Philippines,12.37,123.158,Manila,PHL,Philippine Peso,Flag_of_the_Philippines.svg,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg,32510453,Peru
Poland,53.123,19.45,Warszawa,POL,Polish Zloty,Flag_of_Poland.svg,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg,108116615,Philippines
Portugal,39.6,-8.88,Lisboa,PRT,Euro,Flag_of_Portugal.svg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,37970874,Poland
Puerto Rico,18.27,-66.67,San Juan,PRI,US Dollar,,,10269417,Portugal
Qatar,25.06,52.15,Doha,QAT,Qatari Rial,Flag_of_Qatar.svg,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg,3193694,Puerto Rico
Romania,45.79,24.69,Bucuresti,ROU,Romanian New Leu,Flag_of_Romania.svg,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg,2832067,Qatar
Russia,62.2,99.6,Moscow,RUS,Russian Ruble,Flag_of_Russia.svg,https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg,19356544,Romania
Rwanda,-1.99,29.9,Kigali,RWA,Rwanda Franc,Flag_of_Rwanda.svg,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Rwanda.svg,144373535,Russian Federation
Saint Kitts and Nevis,17.3,-62.73,Basseterre,KNA,East Caribbean Dollar,Flag_of_Saint_Kitts_and_Nevis.svg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg,12626950,Rwanda
Saint Lucia,13.84,-61,Castries,LCA,East Caribbean Dollar,Flag_of_Saint_Lucia.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Saint_Lucia.svg,52823,St. Kitts and Nevis
Saint Vincent and the Grenadines,13.26,-61.2,Kingstown,VCT,East Caribbean Dollar,Flag_of_Saint_Vincent_and_the_Grenadines.svg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg,182790,St. Lucia
Samoa,-13.63,-172.46,Apia,WSM,Samoan Tala,Flag_of_Samoa.svg,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Samoa.svg,110589,St. Vincent and the Grenadines
San Marino,43.93,12.45,San Marino,SMR,Euro,Flag_of_San_Marino.svg,https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_San_Marino.svg,197097,Samoa
Sao Tome and Principe,0.27,6.63,Neves,STP,Dobra,Flag_of_Sao_Tome_and_Principe.svg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg,33860,San Marino
