Country,Lat,Lon,Capital City,Country_Code,Currency,Image_name,Image_URL,population,country_name
"Congo, The Democratic Republic of the",-2.57,24.32,Kinshasa,COD,Francs,Flag_of_the_Democratic_Republic_of_the_Congo.svg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg,86790567,"Congo, Dem. Rep."
Costa Rica,10.45,-84.35,San Jos,CRI,Costa Rican Colon,Flag_of_Costa_Rica.svg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg,5047561,Costa Rica
Croatia,45.14,14.75,Zagreb,HRV,Croatian Kuna,Flag_of_Croatia.svg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,4067500,Croatia
Cuba,21.67,-79.02,La Habana,CUB,Cuban Peso,Flag_of_Cuba.svg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg,11333483,Cuba
Cyprus,35.05,33.22,Nicosia,CYP,Euro,Flag_of_Cyprus.svg,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,1198575,Cyprus
Czech Republic,49.67,14.95,Praha,CZE,Czech Koruna,Flag_of_the_Czech_Republic.svg,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,10669709,Czech Republic
Denmark,55.76,10.32,Copenhagen,DNK,Danish Krone,Flag_of_Denmark.svg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,5818553,Denmark
Djibouti,11.75,42.55,Djibouti,DJI,Djibouti Franc,Flag_of_Djibouti.svg,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg,973560,Djibouti
Dominica,15.49,-61.37,Roseau,DMA,East Caribbean Dollar,Flag_of_Dominica.svg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg,71808,Dominica
Dominican Republic,18.99,-70.1,Santo Domingo de Guzm,DOM,Dominican Peso,Flag_of_the_Dominican_Republic.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,10738958,Dominican Republic
Ecuador,-1.46,-78.22,Quito,ECU,Ecuador Sucre,Flag_of_Ecuador.svg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,17373662,Ecuador
Egypt,26.96,29.6,Cairo,EGY,Egyptian Pound,Flag_of_Egypt.svg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,100388073,"Egypt, Arab Rep."
El Salvador,13.69,-89.27,San Salvador,SLV,El Salvador Colon,Flag_of_El_Salvador.svg,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,6453553,El Salvador
Equatorial Guinea,1.74,10.41,Malabo,GNQ,CFA Franc BEAC,Flag_of_Equatorial_Guinea.svg,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg,1355986,Equatorial Guinea
Estonia,58.9,25.79,Tallinn,EST,Euro,Flag_of_Estonia.svg,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,1326590,Estonia
Ethiopia,8.51,39.27,Addis Abeba,ETH,Ethiopian Birr,Flag_of_Ethiopia.svg,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,112078730,Ethiopia
Faroe Islands,62.13,-7.04,Tórshavn,FRO,Danish Krone,,,48678,Faroe Islands
Fiji Islands,-17.72,177.88,Suva,FJI,Fiji Dollar,Flag_of_Fiji.svg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg,889953,Fiji
Finland,62.04,25.83,Helsinki [Helsingfors],FIN,Euro,Flag_of_Finland.svg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,5520314,Finland
France,46.66,2.17,Paris,FRA,Euro,Flag_of_France.svg,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,67059887,France
French Polynesia,-17.54,-149.89,Papeete,PYF,CFP Franc,,,279287,French Polynesia
Gabon,-0.54,11.8,Libreville,GAB,CFA Franc BEAC,Flag_of_Gabon.svg,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,2172579,Gabon
Gambia,13.47,-15.36,Banjul,GMB,Gambian Dalasi,Flag_of_The_Gambia.svg,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg,2347706,"Gambia, The"
Georgia,42.2,43.17,Tbilisi,GEO,Georgian Lari,Flag_of_Georgia.svg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,3720382,Georgia
Germany,51.19,10.08,Berlin,DEU,Euro,Flag_of_Germany.svg,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,83132799,Germany
Ghana,7.97,-1.05,Accra,GHA,Ghanaian Cedi,Flag_of_Ghana.svg,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,30417856,Ghana
Gibraltar,36.14,-5.35,Gibraltar,GIB,Gibraltar Pound,,,33701,Gibraltar
Greece,39.55,22.34,Athenai,GRC,Euro,Flag_of_Greece.svg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,10716322,Greece
Greenland,66.17,-45.52,Nuuk,GRL,Danish Krone,,,56225,Greenland
Grenada,12.06,-61.71,Saint George's,GRD,East Carribean Dollar,Flag_of_Grenada.svg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg,112003,Grenada
Guam,13.44,144.76,Aga,GUM,US Dollar,,,167294,Guam
Guatemala,15.71,-90.55,Ciudad de Guatemala,GTM,Guatemalan Quetzal,Flag_of_Guatemala.svg,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,16604026,Guatemala
Guinea,10.43,-10.82,Conakry,GIN,Guinea Franc,Flag_of_Guinea.svg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,12771246,Guinea
Guinea-Bissau,12.12,-14.63,Bissau,GNB,Guinea-Bissau Peso,Flag_of_Guinea-Bissau.svg,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg,1920922,Guinea-Bissau
Guyana,4.77,-59.05,Georgetown,GUY,Guyana Dollar,Flag_of_Guyana.svg,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg,782766,Guyana
Haiti,18.68,-72.25,Port-au-Prince,HTI,Haitian Gourde,Flag_of_Haiti.svg,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg,11263077,Haiti
Honduras,14.77,-87.31,Tegucigalpa,HND,Honduran Lempira,Flag_of_Honduras.svg,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,9746117,Honduras
Hong Kong,22.32,114.17,Victoria,HKG,Hong Kong Dollar,,,7507400,"Hong Kong SAR, China"
Hungary,47.03,20.2,Budapest,HUN,Hungarian Forint,Flag_of_Hungary.svg,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,9769949,Hungary
Iceland,65.03,-18.82,Reykjav,ISL,Iceland Krona,Flag_of_Iceland.svg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,361313,Iceland
India,22.66,79.37,New Delhi,IND,Indian Rupee,Flag_of_India.svg,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,1366417754,India
Indonesia,-4.07,120.89,Jakarta,IDN,Indonesian Rupiah,Flag_of_Indonesia.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,270625568,Indonesia
Iran,32.15,53.96,Teheran,IRN,Iranian Rial,Flag_of_Iran.svg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,82913906,"Iran, Islamic Rep."
Iraq,33.21,42.77,Baghdad,IRQ,Iraqi Dinar,Flag_of_Iraq.svg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,39309783,Iraq
Ireland,53,-7.96,Dublin,IRL,Euro,Flag_of_Ireland.svg,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,4941444,Ireland
Israel,31.03,34.94,Jerusalem,ISR,Israeli New Shekel,Flag_of_Israel.svg,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,9053300,Israel
Italy,43.12,12.28,Roma,ITA,Euro,Flag_of_Italy.svg,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,60297396,Italy
Jamaica,18.16,-77.36,Kingston,JAM,Jamaican Dollar,Flag_of_Jamaica.svg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,2948279,Jamaica
Japan,36.82,138.21,Tokyo,JPN,Japanese Yen,Flag_of_Japan.svg,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,126264931,Japan
Jordan,31.84,36.6,Amman,JOR,Jordanian Dinar,Flag_of_Jordan.svg,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,10101694,Jordan
Kazakstan,47.97,67.51,Astana,KAZ,Kazakhstan Tenge,Flag_of_Kazakhstan.svg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg,18513930,Kazakhstan
Kenya,1.03,38.75,Nairobi,KEN,Kenyan Shilling,Flag_of_Kenya.svg,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,52573973,Kenya
Kiribati,1.33,172.97,Bairiki,KIR,Australian Dollar,Flag_of_Kiribati.svg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg,117606,Kiribati
Kosovo,42.69,21.17,Pristina,XKX,Euro,Flag_of_Kosovo.svg,https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Kosovo.svg,25666161,"Korea, Dem. Peopleâ€™s Rep."
Kuwait,29.4,47.94,Kuwait,KWT,Kuwaiti Dinar,Flag_of_Kuwait.svg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg,51709098,"Korea, Rep."
Kyrgyzstan,41.83,73.42,Bishkek,KGZ,Som,Flag_of_Kyrgyzstan.svg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg,1794248,Kosovo
Laos,19.59,102.43,Vientiane,LAO,Lao Kip,Flag_of_Laos.svg,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg,4207083,Kuwait
Latvia,57.12,26.41,Riga,LVA,Latvian Lats,Flag_of_Latvia.svg,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,6456900,Kyrgyz Republic
Lebanon,34.1,35.92,Beirut,LBN,Lebanese Pound,Flag_of_Lebanon.svg,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,7169455,Lao PDR
Lesotho,-29.57,28.13,Maseru,LSO,Lesotho Loti,Flag_of_Lesotho.svg,https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg,1912789,Latvia
Liberia,6.43,-9.36,Monrovia,LBR,Liberian Dollar,Flag_of_Liberia.svg,https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg,6855713,Lebanon
Libya,27.27,17.6,Tripoli,LBY,Libyan Dinar,Flag_of_Libya.svg,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg,2125268,Lesotho
Liechtenstein,47.14,9.51,Vaduz,LIE,Swiss Franc,Flag_of_Liechtenstein.svg,https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg,4937374,Liberia
Lithuania,55.61,23.73,Vilnius,LTU,Lithuanian Litas,Flag_of_Lithuania.svg,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg,6777452,Libya
Luxembourg,49.6,6.18,Luxembourg [Luxemburg/L,LUX,Euro,Flag_of_Luxembourg.svg,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,38019,Liechtenstein
Macao,22.19,113.54,Macao,MAC,Macau Pataca,,,2786844,Lithuania
Macedonia,42.1,21.4,Skopje,MKD,Denar,Flag_of_Macedonia.svg,https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_Macedonia.svg,619896,Luxembourg
Madagascar,-21.27,46.22,Antananarivo,MDG,Malagasy Franc,Flag_of_Madagascar.svg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg,640445,"Macao SAR, China"
Malawi,-13.35,34.14,Lilongwe,MWI,Malawi Kwacha,Flag_of_Malawi.svg,https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg,2083459,North Macedonia
